Date,Open,High,Low,Close,Volume
17-01-2023,17922.80078,18072.05078,17886.94922,18053.30078,219100
18-01-2023,18074.30078,18183.75,18032.44922,18165.34961,255800
19-01-2023,18119.80078,18155.19922,18063.75,18107.84961,237800
20-01-2023,18115.59961,18145.44922,18016.19922,18027.65039,237200
23-01-2023,18118.44922,18162.59961,18063.44922,18118.55078,202500
24-01-2023,18183.94922,18201.25,18078.65039,18118.30078,216900
25-01-2023,18093.34961,18100.59961,17846.15039,17891.94922,257200
27-01-2023,17877.19922,17884.75,17493.55078,17604.34961,476300
30-01-2023,17541.94922,17709.15039,17405.55078,17648.94922,432400
31-01-2023,17731.44922,17735.69922,17537.55078,17662.15039,398300
01-02-2023,17811.59961,17972.19922,17353.40039,17616.30078,512900
02-02-2023,17517.09961,17653.90039,17445.94922,17610.40039,490100
03-02-2023,17721.75,17870.30078,17584.19922,17854.05078,424100
06-02-2023,17818.55078,17823.69922,17698.34961,17764.59961,282500
07-02-2023,17790.09961,17811.15039,17652.55078,17721.5,354400
08-02-2023,17750.30078,17898.69922,17744.15039,17871.69922,291000
09-02-2023,17885.5,17916.90039,17779.80078,17893.44922,260900
10-02-2023,17847.55078,17876.94922,17801,17856.5,232000
13-02-2023,17859.09961,17880.69922,17719.75,17770.90039,231300
14-02-2023,17840.34961,17954.55078,17800.05078,17929.84961,244500
15-02-2023,17896.59961,18034.09961,17853.80078,18015.84961,229300
16-02-2023,18094.75,18134.75,18000.65039,18035.84961,230200
17-02-2023,17974.84961,18034.25,17884.59961,17944.19922,208100
20-02-2023,17965.55078,18004.34961,17818.40039,17844.59961,174600
21-02-2023,17905.80078,17924.90039,17800.30078,17826.69922,198200
22-02-2023,17755.34961,17772.5,17529.44922,17554.30078,204000
23-02-2023,17574.65039,17620.05078,17455.40039,17511.25,240800
24-02-2023,17591.34961,17599.75,17421.80078,17465.80078,209400
27-02-2023,17428.59961,17451.59961,17299,17392.69922,246400
28-02-2023,17383.25,17440.44922,17255.19922,17303.94922,420900
01-03-2023,17360.09961,17467.75,17345.25,17450.90039,272900
02-03-2023,17421.5,17445.80078,17306,17321.90039,310700
03-03-2023,17451.25,17644.75,17427.69922,17594.34961,356200
06-03-2023,17680.34961,17799.94922,17671.94922,17711.44922,362800
08-03-2023,17665.75,17766.5,17602.25,17754.40039,267000
09-03-2023,17772.05078,17772.34961,17573.59961,17589.59961,262400
10-03-2023,17443.80078,17451.5,17324.34961,17412.90039,235900
13-03-2023,17421.90039,17529.90039,17113.44922,17154.30078,254900
14-03-2023,17160.55078,17224.65039,16987.09961,17043.30078,290600
15-03-2023,17166.44922,17211.34961,16938.90039,16972.15039,248200
16-03-2023,16994.65039,17062.44922,16850.15039,16985.59961,349800
17-03-2023,17111.80078,17145.80078,16958.15039,17100.05078,408100
20-03-2023,17066.59961,17066.59961,16828.34961,16988.40039,241800
21-03-2023,17060.40039,17127.69922,17016,17107.5,246700
22-03-2023,17177.44922,17207.25,17107.84961,17151.90039,0
23-03-2023,17097.40039,17205.40039,17045.30078,17076.90039,219200
24-03-2023,17076.19922,17109.44922,16917.34961,16945.05078,228000
27-03-2023,16984.30078,17091,16918.55078,16985.69922,218400
28-03-2023,17031.75,17061.75,16913.75,16951.69922,238800
29-03-2023,16977.30078,17126.15039,16940.59961,17080.69922,345900
31-03-2023,17210.34961,17381.59961,17204.65039,17359.75,263900
03-04-2023,17427.94922,17428.05078,17312.75,17398.05078,230200
05-04-2023,17422.30078,17570.55078,17402.69922,17557.05078,248300
06-04-2023,17533.84961,17638.69922,17502.84961,17599.15039,242700
10-04-2023,17634.90039,17694.09961,17597.94922,17624.05078,254800
11-04-2023,17704.80078,17748.75,17655.15039,17722.30078,304300
12-04-2023,17759.55078,17825.75,17717.25,17812.40039,232800
13-04-2023,17807.30078,17842.15039,17729.65039,17828,285800
17-04-2023,17863,17863,17574.05078,17706.84961,357400
18-04-2023,17766.59961,17766.59961,17610.19922,17660.15039,258900
19-04-2023,17653.34961,17666.15039,17579.84961,17618.75,281500
20-04-2023,17638.59961,17684.44922,17584.34961,17624.44922,215100
21-04-2023,17639.75,17663.19922,17553.94922,17624.05078,230200
24-04-2023,17707.55078,17754.5,17612.5,17743.40039,255700
25-04-2023,17761.55078,17807.44922,17716.84961,17769.25,297400
26-04-2023,17767.30078,17827.75,17711.19922,17813.59961,233000
27-04-2023,17813.09961,17931.59961,17797.90039,17915.05078,241400
28-04-2023,17950.40039,18089.15039,17885.30078,18065,290300
02-05-2023,18124.80078,18180.25,18101.75,18147.65039,265200
03-05-2023,18113.80078,18116.34961,18042.40039,18089.84961,226200
04-05-2023,18081,18267.44922,18066.69922,18255.80078,226600
05-05-2023,18117.30078,18216.94922,18055.44922,18069,239700
08-05-2023,18120.59961,18286.94922,18100.30078,18264.40039,228400
09-05-2023,18303.40039,18344.19922,18229.65039,18265.94922,245400
10-05-2023,18313.59961,18326.75,18211.94922,18315.09961,220500
11-05-2023,18357.80078,18389.69922,18270.40039,18297,248900
12-05-2023,18273.75,18342.75,18194.55078,18314.80078,241700
15-05-2023,18339.30078,18458.90039,18287.90039,18398.84961,216100
16-05-2023,18432.34961,18432.34961,18264.34961,18286.5,219500
17-05-2023,18300.44922,18309,18115.34961,18181.75,229900
18-05-2023,18287.5,18297.19922,18104.84961,18129.94922,272100
19-05-2023,18186.15039,18218.09961,18060.40039,18203.40039,260900
22-05-2023,18201.09961,18335.25,18178.84961,18314.40039,262600
23-05-2023,18362.90039,18419.75,18324.19922,18348,270400
24-05-2023,18294.80078,18392.59961,18262.94922,18285.40039,232600
25-05-2023,18268.90039,18338.09961,18202.40039,18321.15039,235900
26-05-2023,18368.34961,18508.55078,18333.15039,18499.34961,198700
29-05-2023,18619.15039,18641.19922,18581.25,18598.65039,265300
30-05-2023,18606.65039,18662.44922,18575.5,18633.84961,234400
31-05-2023,18594.19922,18603.90039,18483.84961,18534.40039,696500
01-06-2023,18579.40039,18580.30078,18464.55078,18487.75,265600
02-06-2023,18550.84961,18573.69922,18478.40039,18534.09961,270900
05-06-2023,18612,18640.15039,18582.80078,18593.84961,256100
06-06-2023,18600.80078,18622.75,18531.59961,18599,220800
07-06-2023,18665.59961,18738.94922,18636,18726.40039,260100
08-06-2023,18725.34961,18777.90039,18615.59961,18634.55078,286500
09-06-2023,18655.90039,18676.65039,18555.40039,18563.40039,221800
12-06-2023,18595.05078,18633.59961,18559.75,18601.5,179500
13-06-2023,18631.80078,18728.90039,18631.80078,18716.15039,233200
14-06-2023,18744.59961,18769.69922,18690,18755.90039,261400
15-06-2023,18774.44922,18794.09961,18669.05078,18688.09961,263000
16-06-2023,18723.30078,18864.69922,18710.5,18826,272800
19-06-2023,18873.30078,18881.44922,18719.15039,18755.44922,219800
20-06-2023,18752.34961,18839.69922,18660.65039,18816.69922,211600
21-06-2023,18849.40039,18875.90039,18794.84961,18856.84961,217500
22-06-2023,18853.59961,18886.59961,18759.5,18771.25,252700
23-06-2023,18741.84961,18756.40039,18647.09961,18665.5,210600
26-06-2023,18682.34961,18722.05078,18646.69922,18691.19922,171300
27-06-2023,18748.55078,18829.25,18714.25,18817.40039,222500
28-06-2023,18908.15039,19011.25,18861.34961,18972.09961,398800
30-06-2023,19076.84961,19201.69922,19024.59961,19189.05078,247900
03-07-2023,19246.5,19345.09961,19234.40039,19322.55078,226100
04-07-2023,19406.59961,19434.15039,19300,19389,226900
05-07-2023,19405.94922,19421.59961,19339.59961,19398.5,224400
06-07-2023,19385.69922,19512.19922,19373,19497.30078,268300
07-07-2023,19422.80078,19523.59961,19303.59961,19331.80078,237100
10-07-2023,19400.34961,19435.84961,19327.09961,19355.90039,268200
11-07-2023,19427.09961,19515.09961,19406.44922,19439.40039,251300
12-07-2023,19497.44922,19507.69922,19361.75,19384.30078,327900
13-07-2023,19495.19922,19567,19385.80078,19413.75,310400
14-07-2023,19493.44922,19595.34961,19433.5,19564.5,291200
17-07-2023,19612.15039,19731.84961,19562.94922,19711.44922,268700
18-07-2023,19787.5,19819.44922,19690.19922,19749.25,286400
19-07-2023,19802.94922,19851.69922,19727.44922,19833.15039,259700
20-07-2023,19831.69922,19991.84961,19758.40039,19979.15039,274700
21-07-2023,19800.44922,19887.40039,19700,19745,312500
24-07-2023,19748.44922,19782.75,19658.30078,19672.34961,265600
25-07-2023,19729.34961,19729.34961,19615.94922,19680.59961,369700
26-07-2023,19733.34961,19825.59961,19716.69922,19778.30078,244700
27-07-2023,19850.90039,19867.55078,19603.55078,19659.90039,334900
